"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG","Real-Time"
"163","Keaton Mitchell","LAC ","7","RB53","197","163","139","166.3","137  +26"
"164","C.J. Stroud","HOU ","8","QB23","142","198","159","166.3","207  -43"
"165","New England Patriots DST","","11","DST6","153","153","197","167.7","140  +25"
"166","Fernando Mendoza","LV ","13","QB24","127","188","190","168.3","237  -71"
"167","Denzel Boston","CLE ","11","WR59","190","157","158","168.3","160  +7"
"168","Mike Washington Jr.","LV ","13","RB54","163","192","163","172.7","178  -10"
"169","T.J. Hockenson","MIN ","6","TE21","175","185","160","173.3","190  -21"
"170","Cam Ward","TEN ","9","QB25","141","216","165","174.0","265  -95"
"171","Kenyon Sadiq","NYJ ","13","TE22","179","167","176","174.0","184  -13"
"172","Bryce Young","CAR ","5","QB26","131","221","172","174.7","225  -53"
"173","David Njoku","LAC ","7","TE23","138","224","166","176.0","255  -82"
"174","MarShawn Lloyd","GB ","11","RB55","199","180","151","176.7","162  +12"
"175","Jauan Jennings","MIN ","6","WR60","155","199","177","177.0","217  -42"
"176","Daniel Jones","IND ","13","QB27","157","213","162","177.3","208  -32"
"177","Minnesota Vikings DST","","6","DST7","187","158","199","181.3","139  +38"
"178","Travis Hunter","JAC ","7","WR61","152","174","220","182.0","177  +1"
"179","Aaron Rodgers","PIT ","9","QB28","119","249","179","182.3","259  -80"
"180","Omar Cooper Jr.","NYJ ","13","WR62","181","177","192","183.3","221  -41"
"181","Jalen McMillan","TB ","10","WR63","174","196","187","185.7","186  -5"
"182","AJ Barner","SEA ","11","TE24","147","175","237","186.3","220  -38"
"183","Jaydon Blue","DAL ","14","RB56","158","217","185","186.7","198  -15"
"184","Dalton Schultz","HOU ","8","TE25","171","202","194","189.0","244  -60"
"185","Harrison Mevis","LAR ","11","K6","202","156","210","189.3","150  +35"
"186","Jake Bates","DET ","6","K7","215","154","200","189.7","167  +19"
"187","Jacksonville Jaguars DST","","7","DST8","211","160","204","191.7","158  +29"
"188","Terrance Ferguson","LAR ","11","TE26","144","212","222","192.7","206  -18"
"189","Pittsburgh Steelers DST","","9","DST9","208","166","206","193.3","164  +25"
"190","James Conner","ARI ","14","RB57","145","205","233","194.3","234  -44"
"191","Baltimore Ravens DST","","13","DST10","213","146","243","200.7","166  +25"
"192","Isaac TeSlaa","DET ","6","WR64","143","214","248","201.7","203  -11"
"193","Pat Freiermuth","PIT ","9","TE27","137","245","227","203.0","264  -71"
"194","Cooper Kupp","SEA ","11","WR65","126","210","279","205.0","214  -20"
"195","Eddy Pineiro","SF ","8","K8","221","168","226","205.0","175  +20"
"196","Los Angeles Chargers DST","","7","DST11","216","183","216","205.0","165  +31"
"197","Tyler Loop","BAL ","13","K9","217","189","209","205.0","168  +29"
"198","Dylan Sampson","CLE ","11","RB58","176","157","166.5","179  +19"
"199","Ja'Kobi Lane","BAL ","13","WR66","162","171","166.5","195  +4"
"200","Andy Borregales","NE ","11","K10","222","178","236","212.0","238  -38"
"201","Dallas Cowboys DST","","14","DST12","162","238","241","213.7","187  +14"
"202","Greg Dulcich","MIA ","6","TE28","196","250","198","214.7","216  -14"
"203","Green Bay Packers DST","","11","DST13","214","208","224","215.3","200  +3"
"204","Harrison Butker","KC ","5","K11","195","200","256","217.0","231  -27"
"205","Will Reichard","MIN ","6","K12","219","182","251","217.3","185  +20"
"206","Tyreek Hill","WR67","192","223","239","218.0","254  -48"
"207","Detroit Lions DST","","6","DST14","212","173","271","218.7","181  +26"
"208","Braelon Allen","NYJ ","13","RB59","197","170","183.5","193  +15"
"209","Tank Dell","HOU ","8","WR68","186","182","184.0","180  +29"
"210","Malik Washington","MIA ","6","WR69","190","180","185.0","191  +19"
"211","Jerry Jeudy","CLE ","11","WR70","204","167","185.5","223  -12"
"212","Chase McLaughlin","TB ","10","K13","218","206","250","224.7","229  -17"
"213","Chris Boswell","PIT ","9","K14","210","184","281","225.0","194  +19"
"214","Evan McPherson","CIN ","6","K15","220","179","278","225.7","188  +26"
"215","San Francisco 49ers DST","","8","DST15","159","240","282","227.0","232  -17"
"216","Chicago Bears DST","","10","DST16","160","239","290","229.7","245  -29"
"217","Cyrus Allen","KC ","5","WR71","181","214","197.5","189  +28"
"218","Nicholas Singleton","TEN ","9","RB60","193","208","200.5","219  -1"
"219","Tre Tucker","LV ","13","WR72","195","207","201.0","212  +7"
"220","Kayshon Boutte","NE ","11","WR73","235","169","202.0","227  -7"
"221","Dontayvion Wicks","PHI ","10","WR74","209","195","202.0","201  +20"
